flight_icao,dep_iata,arr_iata,aircraft_icao
DAL2471,ANC,SEA,B738
DAL2483,SLC,SLC,BCS1
DAL2493,ATL,CHS,B738
DAL2515,MSP,SAT,A319
DAL2536,MSP,PHL,A321
DAL2541,ATL,PWM,A321
DAL2542,ATL,BDL,B739
DAL2548,DFW,BOS,BCS1
DAL2559,LGA,FLL,B738
DAL256,BOS,AMS,A339
DAL2565,LGA,ORD,BCS1
DAL2579,ATL,TPA,B752
DAL258,BOS,AMS,A333
DAL2584,MSP,LAX,B739
DAL2587,IAH,MSP,A319
DAL2588,ATL,TUS,A321
DAL2604,MSP,IAH,A319
DAL2611,EWR,ATL,B738
DAL2613,LGA,LGA,BCS1
DAL2618,ATL,AVL,B712
DAL262,JFK,CDG,A333
DAL2624,SEA,MCI,A320
DAL2626,LAX,SLC,B739
DAL2644,DTW,MEM,B712
DAL2653,ATL,SMF,B739
DAL2656,JFK,PDX,B739
DAL2667,MSP,IND,A321
DAL2673,MSP,ORD,A320
DAL2677,SEA,BNA,B738
DAL2679,ATL,BDL,B739
DAL27,ATL,ICN,A359
DAL2701,ATL,MCI,B739
DAL2715,SNA,SLC,BCS3
DAL2718,ATL,MLB,B712
DAL272,JFK,LIS,B763
DAL2720,ORD,SLC,A320
DAL2731,DTW,DTW,A321
DAL2737,DTW,LAX,A321
DAL2742,DTW,MCI,B712
DAL2749,ATL,MOB,B712
DAL2752,SEA,SEA,BCS1
DAL2756,ATL,CLT,B712
DAL2771,LGA,TPA,A319
DAL2786,LGA,DTW,A319
DAL2793,CUN,LAX,B739
DAL2796,DEN,LGA,B738
DAL28,JFK,NCE,B764
DAL2803,MSP,SJC,A319
DAL2846,ATL,ILM,B712
DAL2864,ATL,LAX,A359
DAL2884,MSP,DCA,A319
DAL2897,ATL,CID,A319
DAL2905,SLC,DTW,A321
DAL2908,ATL,PHX,A321
DAL2919,MSP,EWR,B712
DAL2922,MSP,MSN,A319
DAL295,ATL,HND,A359
DAL2963,ATL,MCO,B752
DAL2978,MSP,YYC,A321
DAL2989,DTW,DCA,A320
DAL2994,SLC,ORD,A320
DAL30,ATL,LHR,B764
DAL300,JFK,SFO,B763
DAL302,ATL,SEA,B753
DAL303,ATL,LAX,A321
DAL304,MCO,SLC,A321
DAL31,LHR,DFW,A321
DAL311,JFK,LAS,B763
DAL314,JFK,SFO,B763
DAL315,JFK,SLC,B752
DAL317,ATL,MSP,B752
DAL318,BOS,SEA,A21N
DAL32,DFW,LHR,B764
DAL322,SFO,BOS,A21N
DAL325,SFO,JFK,B763
DAL328,ATL,SDF,B739
DAL329,LGA,MIA,B738
DAL330,LAX,HNL,B752
DAL332,SEA,BOS,B739
DAL338,JFK,JFK,B752
DAL349,LGA,ATL,A320
DAL363,JFK,SAN,B752
DAL364,BOS,SFO,A21N
DAL370,LAX,KOA,B752
DAL371,MSP,MSP,B739
DAL374,SEA,JFK,A21N
DAL38,JFK,VCE,B763
DAL380,SLC,JFK,B739
DAL393,JFK,SEA,A339
DAL40,SYD,LAX,A359
DAL413,ATL,BOS,A321
DAL416,ATL,EWR,B738
DAL428,LAX,LIH,B752
DAL432,DFW,LGA,BCS1
DAL436,LAX,JFK,B763
DAL438,SEA,AUS,BCS1
DAL44,JFK,DUB,A333
DAL443,LAX,HNL,B752
DAL444,DCA,SLC,B752
DAL448,LAX,OGG,B752
DAL453,BOS,MCI,BCS1
DAL456,ATL,ATL,B739
DAL458,BOS,LAX,B752
DAL46,JFK,AMS,A333
DAL463,ATL,ATL,A321
DAL472,GRU,JFK,B763
DAL477,LAX,ATL,A321
DAL48,JFK,AMS,A339
DAL480,HNL,LAX,B752
DAL481,MCO,MSP,A321
DAL492,LGA,ATL,A320
DAL497,LAS,ATL,B763
DAL499,LGA,LGA,A321
DAL505,ATL,LGA,A320
DAL508,DCA,LAX,B752
DAL511,ATL,DEN,A321
DAL512,LAS,JFK,B752
DAL513,ATL,EWR,B738
DAL517,ATL,JFK,B738
DAL519,BOS,LAX,B752
DAL52,JFK,ZRH,B764
DAL522,BNA,LAX,B739
DAL533,ATL,ATL,A321
DAL54,ATL,LOS,A332
DAL545,ATL,SLC,B753
DAL55,LOS,ATL,A332
DAL553,LAX,JFK,B763
DAL56,SLC,AMS,A339
DAL567,ATL,YYZ,A320
DAL568,DTW,ATL,B739
DAL58,BOS,LHR,B764
DAL580,ATL,MEX,B738
DAL604,CUN,SEA,B738
DAL62,ATL,FCO,A333
DAL624,MEX,JFK,B752
DAL652,ATL,PDX,B739
DAL653,DTW,LAS,A321
DAL654,SEA,LAX,B739
DAL655,JFK,AUS,A320
DAL657,JFK,LAX,B763
DAL66,ATL,FCO,A359
DAL667,JFK,SLC,B739
DAL668,MSP,MSP,B712
DAL670,BOS,SLC,B739
DAL674,ATL,CHO,B712
DAL677,SLC,SLC,B738
DAL680,LAX,SEA,B739
DAL684,JFK,ATL,B738
DAL686,MSP,LAS,A321
DAL687,LGA,MSP,A321
DAL691,MCO,DTW,B739
DAL697,MEM,LAX,B738
DAL70,ATL,AMS,A333
DAL704,SLC,MIA,B739
DAL710,ATL,SFO,B753
DAL711,DTW,PHX,A321
DAL718,JFK,JFK,B739
DAL72,ATL,AMS,B764
DAL720,LAX,SAT,BCS3
DAL724,ATL,ATL,B739
DAL728,ATL,BNA,B739
DAL730,JFK,LAS,B739
DAL736,LGA,IAH,BCS1
DAL74,ATL,AMS,A359
DAL746,AUS,DTW,A319
DAL748,ORD,SEA,A320
DAL759,ATL,SNA,B752
DAL763,RDU,LAX,B739
DAL769,ATL,SFO,B739
DAL771,MSP,BOS,A321
DAL773,LAX,IAH,BCS1
DAL777,ATL,LAS,B753
DAL782,SLC,BOS,B739
DAL791,SEA,MSP,B739
DAL792,BNA,SLC,B739
DAL797,DTW,SEA,B739
DAL806,JFK,JFK,B739
DAL807,JFK,JFK,A320
DAL808,JFK,LAX,B763
DAL811,MIA,JFK,B738
DAL816,AUS,LAX,B738
DAL82,ATL,CDG,A333
DAL822,LAX,MCO,B739
DAL840,LGA,DFW,BCS1
DAL844,SLC,IAD,B738
DAL849,ATL,MEM,B739
DAL86,DTW,FRA,A332
DAL860,ATL,JFK,B738
DAL880,LGA,PBI,BCS1
DAL884,ATL,ELP,B739
DAL885,SFO,MSP,B739
DAL888,DTW,LGA,A319
DAL8887,SNA,OAK,B752
DAL893,PBI,JFK,A319
DAL8949,SJC,LAX,B752
DAL901,PHL,SLC,B738
DAL904,FLL,SLC,B739
DAL907,MSP,ATL,A321
DAL915,MSP,SEA,B739
DAL943,SLC,CVG,B739
DAL948,SLC,SLC,B739
DAL949,MIA,LGA,B738
DAL952,BOS,CVG,BCS1
DAL954,LGA,DEN,B738
DAL957,RDU,SLC,B739
DAL962,ATL,ATL,B738
DAL965,SEA,ANC,B738
DAL966,ATL,ATL,B753
DAL967,LAX,LAX,BCS3
DAL98,DTW,CDG,A339
DAL984,SLC,SLC,BCS3
DAT106,YYC,YVR,B38M
DAT504,YHZ,YYC,B38M
DHK112,LEJ,EMA,B752
DHK114,LEJ,EMA,B763
DHK2216,LEJ,STN,B752
DHK352,BRU,EMA,B763
DHK502,EMA,CVG,B77L
DHK503,NGO,CVG,B77L
DHK504,CVG,NGO,B77L
DHX100,BAH,JED,B763
DHX701,DXB,DEL,B763
DHX722A,HKG,BAH,B763
DHX728,HKG,BLR,B763
DJT101,EWR,ORY,A21N
DKH1121,SHA,KMG,A321
DKH1179,PVG,HRB,A20N
DKH1245,PVG,CKG,A20N
DKH1271,SHA,HAK,A20N
DKH1662,MAN,PVG,B789
DKH1710,KMG,NKG,A320
DKH1851,WUX,NNG,A320
DKH1908,HRB,WUX,A321
DLH1309,BEY,FRA,A21N
DLH1331,CMN,FRA,A321
DLH2559,TBS,MUC,A20N
DLH401,JFK,FRA,B748
DLH403,EWR,FRA,B748
DLH411,JFK,MUC,A346
DLH413,EWR,MUC,A359
DLH419,IAD,FRA,B748
DLH423,BOS,FRA,B744
DLH425,BOS,MUC,A359
DLH427,PHL,FRA,A343
DLH429,CLT,MUC,A359
DLH431,ORD,FRA,B748
DLH437,ORD,MUC,A359
DLH439,DFW,FRA,A343
DLH441,IAH,FRA,B748
DLH443,DTW,FRA,A333
DLH445,ATL,FRA,A333
DLH447,DEN,FRA,A343
DLH453,LAX,MUC,A346
DLH458,MUC,SFO,A359
DLH463,MIA,FRA,B748
DLH469,AUS,FRA,A333
DLH475,YUL,MUC,A359
DLH479,YUL,FRA,A343
DLH481,DEN,MUC,A359
DLH491,SEA,FRA,A333
DLH493,YVR,FRA,B744
DLH501,GIG,MUC,A359
DLH506,FRA,GRU,B748
DLH507,GRU,FRA,B748
DLH510,FRA,EZE,B748
DLH511,EZE,FRA,B748
DLH561,LAD,FRA,A333
DLH567,LOS,FRA,A333
DLH572,FRA,JNB,B748
DLH573,JNB,FRA,B748
DLH577,CPT,FRA,A343
DLH587,CAI,MUC,A21N
DLH591,NBO,FRA,A333
DLH601,IKA,FRA,A343
DLH625,KWI,FRA,A333
DLH631,DXB,FRA,A333
DLH637,RUH,FRA,A333
DLH647,ALA,FRA,A333
DLH693,AMM,FRA,A21N
DLH715,HND,MUC,A359
DLH728,FRA,PVG,B748
DLH755,BLR,FRA,B744
DLH757,BOM,FRA,B744
DLH761,DEL,FRA,B748
DLH763,DEL,MUC,A359
DLH772,MUC,BKK,A359
DLH773,BKK,MUC,A359
DLH778,FRA,SIN,A343
DLH779,SIN,FRA,A343
DLH790,MUC,SIN,A359
DLH791,SIN,MUC,A359
DLH796,FRA,HKG,A343
DLH797,HKG,FRA,A343
DLH869,KEF,FRA,A20N
DPJ99,LAS,GRK,C25B
DQA100,MLE,MLE,DH8C
DRK131,BKK,IXB,A319
DTA650,LAD,LIS,A343
DTA653,LIS,LAD,A333
DTA681,MAD,LAD,B77W
DTA748,GRU,LAD,B77W
EAU21M,TEB,LTN,GLF4
ECO269,VVI,CBB,RJ1H
EDV4654,JFK,DTW,CRJ9
EDV4658,LGA,LGA,CRJ9
EDV4660,PIT,LGA,CRJ9
EDV4662,JFK,SAV,CRJ9
EDV4678,LGA,LGA,CRJ9
EDV4698,DTW,MQT,CRJ2
EDV4705,DTW,LEX,CRJ2
EDV4709,JFK,BNA,CRJ9
EDV4727,ILM,LGA,CRJ9
EDV4749,MSP,YUL,CRJ9
EDV4785,LGA,CAE,CRJ9
EDV4788,LGA,LGA,CRJ9
EDV4793,LGA,CLE,CRJ9
EDV4798,MSP,GRB,CRJ2
EDV4808,JFK,MSP,CRJ9
EDV4821,LGA,ALB,CRJ9
EDV4845,CVG,CVG,CRJ9
EDV4856,AVL,LGA,CRJ9
EDV4909,LGA,LGA,CRJ9
EDV4937,DTW,YUL,CRJ9
EDV4957,LGA,LGA,CRJ7
EDV4976,JFK,JFK,CRJ9
EDV4981,ATL,TYS,CRJ9
EDV4987,JFK,YYZ,CRJ9
EDV4994,DTW,JFK,CRJ9
EDV5009,LGA,ORF,CRJ9
EDV5043,JFK,CLE,CRJ9
EDV5092,EWR,CVG,CRJ9
EDV5100,LGA,YYZ,CRJ9
EDV5120,LGA,GSO,CRJ9
EDV5133,LGA,PWM,CRJ7
EDV5200,JFK,ORF,CRJ9
EDV5207,LGA,LGA,CRJ7
EDV5243,DTW,SYR,CRJ9
EDV5246,LGA,MSN,CRJ9
EDV5274,JFK,JFK,CRJ9
EDV5288,LGA,GRR,CRJ9
EDV5325,DTW,CVG,CRJ9
EDV5331,MSP,CVG,CRJ9
EDV5341,LGA,ROC,CRJ9
EDV5349,DTW,ROC,CRJ9
EDV5351,DTW,GSP,CRJ9
EDV5355,LGA,RDU,CRJ9
EDV5381,ORD,JFK,CRJ9
EDV5386,LGA,MKE,CRJ9
EDV5390,LGA,LGA,CRJ9
EDV5428,LGA,LGA,CRJ9
EDV5433,EWR,RDU,CRJ9
EDV5441,LGA,MCI,CRJ9
EDV5450,LGA,RIC,CRJ9
EDV5459,ATL,MGM,CRJ2
EDV5462,LGA,CHO,CRJ9
EDV5473,LGA,BNA,CRJ9
EDV5475,LGA,OMA,CRJ9
EDV5486,LGA,GSP,CRJ9
EFY9029,EYP,BOG,AT46
EFY9070,BGA,CUC,AT76
EIN104,JFK,DUB,A333
EIN106,JFK,DUB,A333
EIN118,IAD,DUB,A21N
EIN11P,IAD,DUB,A21N
EIN11X,PHL,DUB,A21N
EIN122,ORD,DUB,A333
EIN124,ORD,DUB,A333
EIN136,BOS,DUB,A333
EIN13K,BOS,DUB,A333
EIN1BL,BOS,SNN,A21N
EIN1EA,JFK,SNN,A21N
EIN1MN,YYZ,DUB,A21N
EIN1TC,EWR,DUB,A21N
EIN953,DUB,SEA,A333
EIN960,SFO,DUB,A333
EJA117,WWD,TTN,GL5T
EJA162,HPN,MKE,GLEX
EJA175,SFO,LAS,GL7T
EJA246,PVU,TEB,CL60
EJA325,HDN,CLD,E55P
EJA371,BNA,MDW,E55P
EJA376,SFO,SCF,C680
EJA406,TEB,STL,E55P
EJA410,BJC,LAS,E55P
EJA446,TEB,CGF,E55P
EJA533,TEB,SDF,C68A
EJA550,APA,MCO,C68A
EJA556,EGE,MTJ,C56X
EJA580,APA,CLD,C56X
EJA591,UDD,SCF,C68A
EJA614,SNA,VNY,C56X
EJA616,PDK,BFI,C68A
EJA628,SGR,ATL,C68A
EJA654,PHL,STL,C56X
EJA661,ALW,BFI,C56X
EJA678,SBA,YVR,C56X
EJA742,SLC,DAL,CL35
EJA744,SEA,SUN,CL35
EJA758,DAL,LAS,CL35
EJA764,BOS,PWK,CL35
EJA783,VNY,TEB,CL35
EJA798,SJC,TEB,CL35
EJA808,SNA,BFI,C700
EJA811,PHL,TEB,C700
EJA814,DAL,SGR,C700
EJA816,SJC,IAD,C700
EJA818,VNY,LAS,C700
EJA820,SFO,MIA,C700
EJA828,DAL,MAF,C700
EJA829,RNO,PWK,C700
ELY1,TLV,JFK,B789
ELY17,TLV,MIA,B789
ELY18,MIA,TLV,B789
ELY2,JFK,TLV,B789
ELY2368,BUD,TLV,B739
ELY26,EWR,TLV,B789
ELY27,TLV,EWR,B788
ELY28,EWR,TLV,B789
ELY3,TLV,JFK,B789
ELY33,TLV,JFK,B772
ELY376,LIS,TLV,B739
ELY5,TLV,LAX,B789
ELY51,TLV,JNB,B788
ELY554,RAK,TLV,B739
ELY6,LAX,TLV,B789
ELY81,TLV,BKK,B789
ELY82,BKK,TLV,B772
EMD28,DHN,BHM,BE20
EMD4,LBL,APA,BE9L
ENT1271,KTW,BOJ,A320
ENT4359,KTW,RMF,B738
ENT5013,KTW,RMF,B738
ENT53LT,WRO,KGS,B738
ENT7004,SID,WAW,B38M
ENT74MA,KTW,ZTH,B738
ENT75NB,KTW,KGS,B738
ENY3358,ORD,MDT,E145
ENY3415,DFW,DFW,E75L
ENY3421,DFW,RAP,E75L
ENY3443,DFW,DFW,E75L
ENY3513,ORD,DAY,E145
ENY3522,CLT,XNA,E75L
ENY3524,ORD,COU,E145
ENY3541,ORD,CWA,E145
ENY3543,ORD,ROC,E75L
ENY3545,MDT,ORD,E75L
ENY3546,GPT,DFW,E75L
ENY3555,DFW,CAE,E75L
ENY3570,ORD,MSN,E145
ENY3586,MIA,TLH,E75L
ENY3595,ORD,TVC,E75L
ENY3613,AUS,IND,E75L
ENY3658,ORD,CMI,E145
ENY3663,MIA,JAX,E75L
ENY3675,MIA,CMH,E75L
ENY3676,MIA,CVG,E170
ENY3681,DFW,DFW,E75L
ENY3698,DFW,AGU,E75L
ENY3718,ORD,PVD,E75L
ENY3721,ORD,RIC,E145
ENY3728,MIA,MEM,E75L
ENY3729,DFW,DFW,E75L
ENY3735,ORD,AZO,E145
ENY3737,ORD,BMI,E145
ENY3766,ORD,MHT,E170
ENY3772,DFW,DAY,E75L
ENY3785,MIA,SAV,E75L
ENY3787,ORD,BTV,E75L
ENY3795,ORD,LAN,E145
ENY3796,ORD,TYS,E75L
ENY3809,AUS,RDU,E75L
ENY3821,MIA,CHS,E75L
ENY3827,ORD,FAR,E145
ENY3833,DFW,TLH,E75L
ENY3839,ORD,ICT,E145
ENY3844,AUS,ELP,E75L
ENY3876,DFW,SPI,E145
ENY3880,DFW,MRY,E75L
ENY3883,DFW,MFE,E75L
ENY3907,DFW,DFW,E75L
ENY3914,LEX,DFW,E75L
ENY3917,HRL,DFW,E75L
ENY3918,DFW,DFW,E75L
ENY3919,DFW,DFW,E75L
ENY3927,DFW,LEX,E75L
ENY3928,ORD,LSE,E170
ENY3945,ORD,MEM,E170
ENY3956,ORD,CVG,E75L
ENY3957,DCA,XNA,E75L
ENY3970,ORD,CMH,E75L
ENY3978,DCA,MSY,E75L
ENY4013,ORD,ALB,E75L
ENY4017,CLT,SGF,E75L
ENY4018,DFW,BHM,E170
ENY4028,BHM,DFW,E75L
ENY4034,DFW,AVL,E75L
ENY4109,MIA,PNS,E75L
ENY4133,ACT,DFW,E145
ENY4138,DFW,XNA,E75L
ENY4187,DFW,ABI,E145
ENY4204,DFW,SGF,E75L
ENY4227,AUS,RNO,E75L
EQX1039,GYE,UIO,B737
ERF9405,VKO,CTU,B752
ERU401,DAB,SFB,C172
ERU403,DAB,GNV,C172
ERU413,DAB,PIE,C172
ERU443,LAL,DAB,C172
ERU460,UST,DAB,C172
ERU466,MLB,DAB,C172
ERU816,PIE,DAB,C172
ERU824,DAB,TLH,C172
ERU832,VLD,GNV,C172
ERU878,SFB,DAB,C172
ESF337,CJS,CUU,B734
ETD130,IAD,AUH,B789
ETD140,YYZ,AUH,B789
ETD205,BOM,AUH,A35K
ETD211,DEL,AUH,A35K
ETD217,BLR,AUH,B78X
ETD235,DAC,AUH,B789
ETD242,LHE,AUH,B789
ETD269,MAA,AUH,B789
ETD26N,AUH,MXP,B789
ETD275,HYD,AUH,B789
ETD281,COK,AUH,A321
ETD289,AMD,AUH,A321
ETD316,RUH,AUH,A321
ETD320,DMM,AUH,A320
ETD33V,AUH,MUC,B789
ETD36A,AUH,CDG,B77W
ETD39B,AUH,ZRH,B789
ETD418,AUH,KUL,B789
ETD424,AUH,MNL,B77W
ETD430,AUH,HKT,B789
ETD454,AUH,SYD,B77W
ETD46X,AUH,BRU,B789
ETD474,AUH,CGK,B789
ETD48S,AUH,AMS,B78X
ETD49D,AUH,MAN,B78X
ETD54N,ISB,AUH,A320
ETD613,AUH,CMN,B789
ETD65,AUH,SVO,B78X
ETD68W,AUH,MAD,B789
ETD69K,LHR,AUH,B789
ETD7,AUH,FRA,B789
ETD72E,AUH,DUB,B78X
ETD85,AUH,FCO,B789
ETD856,AUH,ICN,B78X
ETD878,AUH,NRT,B789
ETD89G,AUH,LHR,B78X
ETD99E,AUH,GVA,B789
ETH3413,JED,ADD,A359
ETH343,KRT,ADD,B738
ETH3639,KUL,ADD,B77L
ETH3687,CAN,LGG,B77L
ETH3708,LGG,HKG,B77L
ETH3719,HKG,ADD,B77L
ETH407,BEY,ADD,B38M
ETH413,RUH,ADD,B77L
ETH414,ADD,TLV,B738
ETH417,BEY,ADD,B738
ETH429,AMM,ADD,B38M
ETH453,CAI,ADD,B788
ETH500,ADD,DUB,B77L
ETH501,IAD,ADD,B77W
ETH507,EZE,GRU,B788
ETH517,IAD,ADD,B788
ETH552,ADD,DUB,B77W
ETH574,ADD,DUB,B789
ETH575,ORD,ADD,B788
ETH601,DXB,ADD,A359
ETH604,ADD,PEK,B789
ETH610,ADD,BOM,B788
ETH611,BOM,ADD,B788
ETH613,DXB,ADD,A359
ETH617,CAN,ADD,A359
ETH619,BKK,ADD,B788
ETH625,MCT,ADD,B737
ETH628,ADD,BKK,B789
ETH684,ADD,PVG,B77W
ETH686,ADD,DEL,B788
ETH687,DEL,ADD,B788
ETH691,BLR,ADD,B38M
ETH692,ADD,MAA,B38M
ETH701,LHR,ADD,A359
ETH706,ADD,FRA,A359
ETH707,FRA,ADD,A359
ETH712,ADD,FCO,A359
ETH713,FCO,ADD,A359
ETH714,ADD,ARN,B789
ETH715,ARN,ADD,B789
ETH721,IST,ADD,B38M
ETH725,VIE,ADD,B789
ETH728,ADD,BRU,A359
ETH734,ADD,CDG,A359
ETH735,CDG,ADD,A359
ETH760,ADD,DME,B77L
ETH820,KGL,ADD,B738
ETH826,DAR,ADD,B737
ETH858,JNB,ADD,B788
ETH8802,BEY,ACC,B788
EUK934,MCO,MAN,A333
EUK94R,JFK,MAN,A21N
EVA10,TPE,YVR,B78X
EVA106,TPE,FUK,B77W
EVA132,TPE,KIX,B78X
EVA16,TPE,LAX,B77W
EVA198,TPE,NRT,B77W
EVA211,TPE,BKK,B77W
EVA225,TPE,SIN,B77W
EVA227,TPE,KUL,B77W
EVA237,TPE,CGK,B789
EVA26,TPE,SEA,B78X
EVA271,TPE,MNL,B77W
EVA315,TPE,BNE,B789
EVA32,TPE,JFK,B77W
EVA391,TPE,SGN,B77W
EVA397,TPE,HAN,B77W
EVA52,TPE,IAH,B77W
EVA6011,TPE,SIN,B77L
EVA620,TPE,LAX,B77L
EVA624,TPE,ORD,B77L
EVA653,ORD,TPE,B77L
EVA667,ATL,ANC,B77L
EVA67,TPE,BKK,B77W
EVA691,DFW,ANC,B77L
EVA712,TPE,PVG,B77W
EVA716,TPE,PEK,B77W
EVA75,TPE,BKK,B77W
EVA852,HKG,TPE,A333
EVA87,TPE,CDG,B77W
EVE814,CUN,MAD,A359
EWG6807,FMO,PMI,A320
EWG75R,HAJ,PMI,A320
EXS1366,HER,BHX,B738
EXS1466,AYT,STN,A321
EXS1848,KGS,BRS,B738
EXS34R,LCA,MAN,A321
EXS476,DLM,LBA,B738
EXS518,TFS,NCL,B738
EXS60P,AYT,EMA,B738
EXS796,AYT,MAN,A332
EXS820,RHO,MAN,B752
EXS906,HER,MAN,B752
EZY13CX,DLM,BRS,A21N
EZY23QN,ACE,LGW,A20N
EZY24AU,LPA,MAN,A20N
EZY37UB,HRG,LGW,A20N
EZY78NR,BJV,LGW,A320
EZY8798,KGS,LGW,A20N
EZY87LT,TFS,MAN,A20N
EZY89EC,DLM,LGW,A320
FAD324,DMM,JED,A20N
FBA333,NJF,KHI,737
FBA441,NJF,BOM,B738
FBU700,ORY,RUN,A35K
FBU701,RUN,ORY,A359
FBZ5055,MDZ,AEP,B738
FBZ5275,BRC,EZE,B738
FBZ5471,NQN,COR,B738
FBZ5905,GIG,EZE,B738
FDA142,FUK,FSZ,E170
FDA171,FSZ,OKD,E75L
FDA233,MMJ,UKB,E75L
FDA322,KMJ,NKM,E75L
FDA702,IZO,SDJ,E75L
FDB1207,DXB,MLE,B39M
FDB1259,DXB,ZNZ,B38M
FDB1304,NQZ,DXB,B38M
FDB1462,FRU,DXB,B38M
FDB1722,ALA,DXB,B38M
FDB174,HBE,DXB,B738
FDB1750,BEG,DXB,B38M
FDB1830,WAW,DXB,B38M
FDB1942,TAS,DXB,B38M
FDB338,SKT,DXB,B738
FDB344,LYP,DXB,B738
FDB369,DXB,SKT,B738
FDB438,AMD,DXB,B738
FDB51H,VKO,DXB,B738
FDB571,DXB,KTM,B738
FDB593,DXB,CGP,B738
FDB661,DXB,HGA,B738
FDB756,IST,DXB,B38M
FDB8105,DXB,NJF,B38M
FDB8273,DXB,VKO,B738
FDB835,DXB,JED,B38M
FDB8706,VKO,DXB,B738
FDC21,BHE,NSN,C441
FDX1,STN,MEM,B77L
FDX1121,LRD,SAT,A306
FDX1200,FLL,MEM,B763
FDX1202,EWR,MEM,B77L
FDX1203,PIT,MEM,B763
FDX1206,BOS,MEM,B763
FDX1208,GEG,MEM,B763
FDX1209,MCO,MEM,B763
FDX121,YEG,MEM,A306
FDX1211,DSM,FSD,A306
FDX1212,MHT,MEM,B763
FDX1216,PDX,MEM,MD11
FDX1219,OAK,SJC,B763
FDX1222,SAN,MEM,B763
FDX1223,SEA,MEM,MD11
FDX1226,JAX,MEM,B763
FDX1235,BDL,MEM,B763
FDX1253,ABE,MEM,A306
FDX1254,PVD,FWA,B752
FDX1261,MIA,MEM,B763
FDX1266,RSW,MEM,A306
FDX1280,COS,ONT,B752
FDX1291,PWM,MEM,B752
FDX1294,PHL,MEM,B763
FDX1296,BUF,MEM,B752
FDX131,YMX,MEM,MD11
FDX1327,BIL,MEM,A306
FDX1328,ROC,MEM,B763
FDX1331,SWF,MEM,B752
FDX1338,ORF,MEM,A306
FDX1344,TUS,MEM,B763
FDX1345,SFO,MEM,A306
FDX1346,CLE,MEM,B763
FDX1347,ALB,MEM,B752
FDX1359,SBD,MEM,B752
FDX1360,SAN,MEM,B763
FDX1367,MDT,MEM,B752
FDX137,YWG,MEM,A306
FDX1370,MIA,MEM,B752
FDX1372,ORD,MEM,B752
FDX1385,LAX,MEM,B763
FDX1386,GRR,AFW,B752
FDX139,YVR,MEM,B763
FDX14,ANC,MEM,B77L
FDX141,YYC,MEM,DC10
FDX15,ANC,NRT,B77L
FDX15A,ANC,NRT,B77L
FDX1639,RIC,BNA,A306
FDX1681,MCO,IND,B752
FDX18,HNL,HNL,B77L
FDX1813,BOI,RNO,B752
FDX193,ANC,KIX,B77L
FDX21,HKG,DWC,B77L
FDX32,FRA,MEM,B77L
FDX3330,PDX,LAX,B763
FDX41,VCP,MEM,B763
FDX47,CDG,IND,B77L
FDX5021,HNL,KIX,B77L
FDX5030,CAN,DXB,B77L
FDX5033,BLR,DXB,MD11
FDX5040,CDG,DXB,B77L
FDX5047,CDG,EWR,B763
FDX5168,CDG,MXP,B763
FDX5193,MEM,KIX,B77L
FDX5194,SGN,SIN,B763
FDX52,SJU,MEM,MD11
FDX5202,CDG,STN,B763
FDX5225,CGN,MEM,B77L
FDX5236,IND,ANC,B77L
FDX5277,CDG,MEM,MD11
FDX5287,HNL,ICN,MD11
FDX56,SJO,MEM,B752
FDX5813,MEM,ANC,MD11
FDX5986,ANC,MEM,B744
FDX6010,CAN,ANC,MD11
FDX6014,CAN,ANC,B77L
FDX6202,CDG,HAJ,B752
FDX6207,CDG,MAD,B752
FDX6238,CDG,IST,B752
FDX6280,LGG,EMA,B752
FDX6293,CGN,TLV,B752
FDX66,GDL,MEM,MD11
FDX7,MXP,MEM,B77L
FDX81,GUM,PVG,MD11
FDX82,QRO,MEM,B763
FDX9075,SIN,SYD,MD11
FDX9081,ANC,NRT,A306
FDX9130,MEM,MEX,B763
FDX95,CDG,IND,B77L
FDX9867,MEM,KIX,B77L
FDY239,PIT,DUJ,C208
FDY3037,SBA,SQL,PC12
FDY355,SOW,PHX,PC12
FDY545,ITO,OGG,C208
FDY746,OGG,KOA,C208
FDY863,MKK,HNL,C208
FDY872,HNL,MKK,C208
FDY956,HNL,MKK,C208
FEG138,KWI,HBE,B738
FFM1145,KBR,SZB,AT75
FFM1155,KBR,SZB,AT75
FFM1431,PEN,SZB,AT75
FFM3125,XSP,SZB,AT75
FFT100,ATL,SJU,A20N
FFT1007,ALB,MCO,A20N
FFT104,MCO,SJU,A320
FFT1102,LAS,MCO,A320
FFT1151,MCO,ONT,A20N
FFT1165,PHL,MCO,A20N
FFT119,SJU,MIA,A20N
FFT1193,RDU,MCO,A20N
FFT1207,BDL,MCO,A321
FFT1210,STL,MCO,A321
FFT1382,DEN,MDW,A20N
FFT1512,DEN,LGA,A20N
FFT1516,ATL,MIA,A20N
FFT1523,ATL,SFO,A20N
FFT1550,DFW,ATL,A20N
FFT1586,STL,ATL,A20N
FFT1947,BWI,LAS,A20N
FFT1962,LAS,MSY,A20N
FFT1966,LAS,MSP,A20N
FFT1971,XNA,LAS,A321
FFT1979,BUF,LAS,A20N
FFT2017,CLE,LAS,A321
FFT2018,LAS,COS,A320
FFT2039,IND,LAS,A20N
FFT2046,LAS,MEM,A21N
FFT2058,LAS,OMA,A320
FFT2069,RDU,LAS,A20N
FFT2078,SFO,LAS,A20N
FFT209,GDL,LAS,A20N
