model,capacity,code,year_of_manufacture,thumb
757 300,295,B753,1999,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/757_300.jpg
767 200,290,B762,1982,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/767_200.jpg
767 200ER,290,B762,1984,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/767_200_ER.jpg
767 300,351,B763,1986,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/767_300.jpg
767 300ER,351,B763,2017,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/767_300_ER.jpg
767 400ER,375,B764,2014,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/767_400ER.jpg
777 200,440,B772,1994,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/777_200.jpg
777 200ER,440,B772,2018,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/777_200ER.jpg
777 200LR,440,B77L,2017,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/777_200_LR.jpg
777 300,550,B773,1997,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/777_300.jpg
777 300ER,550,B77W,2004,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/777_300ER.jpg
777 8,384,B778,2021,
777 9,414,B779,2018,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/777_9.jpg
787 8,242,B788,2011,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/787_8.jpg
787 9,280,B789,2014,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/787_9.jpg
787 10,330,B78X,2013,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/787_10.jpg
CRJ 700,78,CRJ7,1990,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/CRJ_700.jpg
CRJ 900,90,CRJ9,1990,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/CRJ_900.jpg
CRJ 1000,104,CRJX,1990,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/CRJ_1000.jpg
Dash 8-100,37,DH8A,1984,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Dash_8-100.jpg
Dash 8-200,37,BH8B,1984,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Dash_8-200.jpg
Dash 8-300,50,DH8C,1984,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Dash_8-300.jpg
Dash 8-400,78,DH8D,1984,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Dash_8-400.jpg
C919 Mixed Class,158,C919,2017,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/C919_Mixed_Class.jpg
C919 All Economy,168,C919,2017,
C919 High Density,174,C919,2017,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/C919_High_Density.jpg
Tupolev Tu-144 (Super Sonic Transport),120,T144,1972,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Tupolev_Tu-144_Super_Sonic_Transport.jpg
DC 9-10,109,DC91,1965,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_9-10.jpg
DC 9-20,109,DC92,1972,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_9-20.jpg
DC 9-30,127,DC93,1979,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_9-30.jpg
DC 9-40,128,DC94,1980,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_9-40.jpg
DC 9-50,139,DC95,1982,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_9-50.jpg
DC 8-10,177,DC81,1958,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_8-10.jpg
DC 8-20,177,DC82,1960,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_8-20.jpg
DC 8-30,177,DC83,1962,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_8-30.jpg
DC 8-40,177,DC84,1964,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_8-40.jpg
DC 8-50,189,DC85,1966,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_8-50.jpg
DC 8-60,259,DC86,1968,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_8-60.jpg
DC 8-70,259,DC87,1972,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_8-70.jpg
